"","X","channelId","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"1",1,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","At least Steve is a neutral journalist<U+2026>","At least Steve is a neutral journalist<U+2026>","@yentemarien7032","https://yt3.ggpht.com/ytc/AIf8zZT-RgIDo7ltYlcaJgkYZHGFRVd02BDsPy6xx__R=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCgfGh42khrDdh9qttM39GHw","UCgfGh42khrDdh9qttM39GHw",TRUE,"none",0,"2023-12-17T05:49:24Z","2023-12-17T05:49:24Z","Ugx_ml2RFre-DqCq7EB4AaABAg",NA,NA
"2",2,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Biden&#39;s only hourly worry is just trying to stay alive.","Biden's only hourly worry is just trying to stay alive.","@victorkaps6617","https://yt3.ggpht.com/ytc/AIf8zZRNh5XCNqSglZVMcL1UghhP3-9Y6tam9BNILtw_=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCxBWFrbHIyLP7phqCK7kWxw","UCxBWFrbHIyLP7phqCK7kWxw",TRUE,"none",0,"2023-12-17T02:57:48Z","2023-12-17T02:57:48Z","UgyCsEb6u9aaTgD2wYh4AaABAg",NA,NA
"3",3,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","So Biden is ahead in the whitest state. Imagine.","So Biden is ahead in the whitest state. Imagine.","@dauferm","https://yt3.ggpht.com/ytc/AIf8zZRSqIM7a9_RxviW5W0DFMGOCLF9LkBWppeCyQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCfw-GyYuykcn5HSV-0dbC7Q","UCfw-GyYuykcn5HSV-0dbC7Q",TRUE,"none",0,"2023-12-16T19:27:00Z","2023-12-16T19:27:00Z","Ugz_Plrx3tUbkteZALF4AaABAg",NA,NA
"4",4,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","TRUMP2024","TRUMP2024","@user-sg2yt6nc1z","https://yt3.ggpht.com/ytc/AIf8zZT5ckLzanUoyjwBykK2AEi9puSjpVKJ9DxPhSU1=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCM0_9DubVU55AyL7tviiA0w","UCM0_9DubVU55AyL7tviiA0w",TRUE,"none",2,"2023-12-16T19:14:51Z","2023-12-16T19:14:51Z","Ugz61a5WLxOJx6lM1wB4AaABAg",NA,NA
"5",5,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Can<U+2019>t believe people are this stupid","Can<U+2019>t believe people are this stupid","@brianshorrorcorner9890","https://yt3.ggpht.com/qVQdBVeuFohk7eguI6WKHy5NUsOPrq3lCfqnRIHFY7Ml8HE1038AcOBNZbEGEAbVv-DUrCWy_S8=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCCczTtDr6e6UtkUy5BZdTaQ","UCCczTtDr6e6UtkUy5BZdTaQ",TRUE,"none",0,"2023-12-16T15:39:33Z","2023-12-16T15:39:33Z","UgyJTEoVdrUgrpZevM94AaABAg",NA,NA
"6",6,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Who do you prefer to keep borders safe? Actually enforce laws and deport illegals?","Who do you prefer to keep borders safe? Actually enforce laws and deport illegals?","@nilnil8411","https://yt3.ggpht.com/ytc/AIf8zZTM9lQoHAgCiErY5IPYWa-b1Y603lKNUCuJMw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCFkwkkNPGPicNV5kjCMH8Og","UCFkwkkNPGPicNV5kjCMH8Og",TRUE,"none",1,"2023-12-16T15:36:58Z","2023-12-16T15:36:58Z","UgzDHCPj3FjgdIennYh4AaABAg",NA,NA
"7",7,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Joe Biden has been a plague onto this nation.","Joe Biden has been a plague onto this nation.","@overlordisgoogle8431","https://yt3.ggpht.com/ytc/AIf8zZROfmrcn9UM-WAqoDoKnF9nK7V2RW7q84tX3WZ6YQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCbIrAdReiP6P_QlkaSVSJTw","UCbIrAdReiP6P_QlkaSVSJTw",TRUE,"none",1,"2023-12-16T10:12:52Z","2023-12-16T10:12:52Z","Ugz8oOiCJMrf_tivgx54AaABAg",NA,NA
"8",8,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Let&#39;s face it,,, Biden is Pitiful.","Let's face it,,, Biden is Pitiful.","@fxpestoperator5527","https://yt3.ggpht.com/Fkijm980Ogq2ui4ykPz-mOxfANzgGfNtb641DOH0WPcLFj_-hVFNhshac-_pDc2C-MAfSyPBTw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCy4xskEkhxzzMIYHQT5jAPw","UCy4xskEkhxzzMIYHQT5jAPw",TRUE,"none",0,"2023-12-16T06:14:57Z","2023-12-16T06:14:57Z","Ugwg0a5yb4GhYfJV6CF4AaABAg",NA,NA
"9",9,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Democrats know the 2024 election is looking like the 1980 Reagan landslide victory where 44 states voted Republican. MLK said &quot;Ralph David Abernathy is the best friend that I have in the world.&quot; Democrats tried to erase Ralph David Abernathy from history books when he voted Republican in 1980 and endorsed Ronald Reagan. <a href=""https://youtu.be/-xmo5Z-umCA"">https://youtu.be/-xmo5Z-umCA</a>","Democrats know the 2024 election is looking like the 1980 Reagan landslide victory where 44 states voted Republican. MLK said ""Ralph David Abernathy is the best friend that I have in the world."" Democrats tried to erase Ralph David Abernathy from history books when he voted Republican in 1980 and endorsed Ronald Reagan. https://youtu.be/-xmo5Z-umCA","@hunterbhm","https://yt3.ggpht.com/ytc/AIf8zZQyay9_BsMmIovbbVVF66l5uvfm16UXnyEdiw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCCPQ-uUh-BYLaVceUXyH_zw","UCCPQ-uUh-BYLaVceUXyH_zw",TRUE,"none",0,"2023-12-16T05:20:01Z","2023-12-16T05:20:01Z","UgzTnkIR_4wibxTkrYB4AaABAg",NA,NA
"10",10,"UCeY0bbntWzzVIaj2z3QigXg","oZUot1er0F4","Oh don&#39;t worry.  When the time comes and Joe comes out of the cellar,  he&#39;ll have several hundred thousand votes magically appear from somewhere,  and us gullible Americans will believe  it&#39;s all legit, thus proving to the world that by and large, we are a bunch of morons!","Oh don't worry.  When the time comes and Joe comes out of the cellar,  he'll have several hundred thousand votes magically appear from somewhere,  and us gullible Americans will believe  it's all legit, thus proving to the world that by and large, we are a bunch of morons!","@user-si4ns3ot3q","https://yt3.ggpht.com/ytc/AIf8zZRUG3-nIDq9Aa3TOosTz8VzcjADEY_i4TY3eYUMUtRuafz3WYhsP8CEmaganYHk=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCdXl-4WjSr9KUb8L1-kFGsg","UCdXl-4WjSr9KUb8L1-kFGsg",TRUE,"none",0,"2023-12-15T16:25:18Z","2023-12-15T16:25:18Z","Ugxqz1gq2rKcyJYGYoN4AaABAg",NA,NA
